##	Base30	Cluster0	Cluster3	Cluster6
229	(7)(19)	10110111110111100	11110010110001100	11011001000111100
230	(7)(20)	10010011110011110	11100101100001000	10110010000111000
231	(7)(21)	10110111110011110	11110010110000110	11011001000011110
232	(7)(22)	11101100101100000	11100101100000100	10110010000011100
233	(7)(23)	11110110010111000	11100101100000010	10110010000001110
234	(7)(24)	11111011001011110	11001011101000000	10010001011110000
235	(7)(25)	11011001001000000	11100101110110000	11001000101111100
236	(7)(26)	11101100100110000	11110010111011100	10110011011110000
237	(7)(27)	11110110010011100	11001011100100000	10010001001111000
238	(7)(28)	11011001000100000	11100101110011000	11001000100111110
239	(7)(29)	11101100100011000	11110010111001110	10110011001111000
240	(8)(0)	11110110010001110	11001011100010000	11011001100111110
241	(8)(1)	11011001000010000	11100101110001100	10110011000111100
242	(8)(2)	11101100100001100	11001011100001000	10010001000011110
243	(8)(3)	11011001000001000	11100101110000110	10110011000011110
244	(8)(4)	11011001000000100	11001011100000100	11111100100011010
245	(8)(5)	11001000101100000	11001011100000010	10010001101111100
246	(8)(6)	11100100010111000	10010111101000000	11111101100111010
247	(8)(7)	11110010001011110	11001011110110000	10110011101111100
248	(8)(8)	11011001101100000	11100101111011100	10010001100111110
249	(8)(9)	11001000100110000	10010111100100000	10110011100111110
250	(8)(10)	11100100010011100	11001011110011000	11111001000111010
251	(8)(11)	10110011001000000	11100101111001110	11111011001111010
252	(8)(12)	10010001000100000	10010111100010000	11110010001111010
253	(8)(13)	11101100110011100	11001011110001100	11110110011111010
254	(8)(14)	11100100010001110	10010111100001000	11100100011111010
255	(8)(15)	10110011000100000	11001011110000110	11101100111111010
256	(8)(16)	10010001000010000	10010111100000100	11001000111111010
257	(8)(17)	11001000100001100	10010111110110000	10110001011100000
258	(8)(18)	10110011000010000	11001011111011100	11011000101111000
259	(8)(19)	11011001100001100	10010111110011000	11101100010111110
260	(8)(20)	11001000100000110	11001011111001110	10110001001110000
261	(8)(21)	10010001000000100	10010111110001100	11011000100111100
262	(8)(22)	10010001101100000	10010111110000110	10110001000111000
263	(8)(23)	11001000110111000	10010111111011100	11011000100011110
264	(8)(24)	11100100011011110	10010111111001110	10110001000011100
265	(8)(25)	10110011101100000	11111011010100000	10110001000001110
266	(8)(26)	10010001100110000	11111101101011000	10010000101111000
267	(8)(27)	11001000110011100	10110101111110000	11001000010111110
268	(8)(28)	10110011100110000	11111011010010000	10110001101111000
269	(8)(29)	11011001110011100	11111101101001100	10010000100111100
270	(9)(0)	11001000110001110	10110100111111000	10110001100111100
271	(9)(1)	10110011100011000	11111011010001000	10010000100011110
272	(9)(2)	10010001100001100	11111101101000110	10110001100011110
273	(9)(3)	10010001100000110	10110100011111100	10010000110111110
274	(9)(4)	10010001110111000	11111011010000100	10110001110111110
275	(9)(5)	11001000111011110	11111011010000010	10110000101110000
276	(9)(6)	10110011110111000	11110010010100000	11011000010111100
277	(9)(7)	10010001110011100	11111001001011000	10110000100111000
278	(9)(8)	10110011110011100	11111100100101110	11011000010011110
279	(9)(9)	10010001110001110	11110110110100000	10110000100011100
